  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",1,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",1,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,0
"(43, 1)",1,0,0,1
"(44, 1)",1,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",1,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",0,1,0,1
"(3, 2)",1,1,1,1
"(4, 2)",0,0,1,1
"(5, 2)",1,1,1,0
"(6, 2)",1,1,0,1
"(7, 2)",0,1,1,1
"(8, 2)",1,0,1,1
"(9, 2)",0,1,1,1
"(10, 2)",1,0,1,0
"(11, 2)",0,0,0,1
"(12, 2)",1,1,1,0
"(13, 2)",1,1,0,0
"(14, 2)",1,0,0,1
"(15, 2)",1,0,1,1
"(16, 2)",1,1,1,1
"(17, 2)",0,0,1,1
"(18, 2)",1,1,1,0
"(19, 2)",1,1,0,1
"(20, 2)",0,0,1,1
"(21, 2)",1,1,1,0
"(22, 2)",1,1,0,1
"(23, 2)",0,0,1,1
"(24, 2)",1,1,1,0
"(25, 2)",1,1,0,0
"(26, 2)",1,1,0,0
"(27, 2)",1,0,0,1
"(28, 2)",0,1,1,1
"(29, 2)",0,0,1,1
"(30, 2)",1,1,1,0
"(31, 2)",1,1,0,0
"(32, 2)",1,1,0,0
"(33, 2)",1,1,0,0
"(34, 2)",1,0,0,1
"(35, 2)",1,1,1,0
"(36, 2)",0,1,0,1
